Title,Date,Location,Department,Views,Amount(INR)
"I Paid Rs. 10 to Customs, Excise and Service Tax in Abohar.",11-03-16,"Abohar,Punjab",Customs Check and Clearance,4602,10
Under every table in the department,11-03-16,"Tezpur,Assam",Road Permit,3632,10000
I Paid Rs. 1000 to Stamps and Registration in Hyderabad.,10-03-16,"Hyderabad,Telangana",Marriage Certificate,2860,1000
Soliciting for entertainment fund,10-03-16,"Achhnera,UttarPradesh",Subversion of Financial Norms,4593,10
"I Paid Rs. 151320 to Customs, Excise and Service Tax in Achhnera.",10-03-16,"Achhnera,UttarPradesh",Customs Check and Clearance,5233,151320
I Paid Rs. 10 to Transport in Ahmedabad.,10-03-16,"Ahmedabad,Gujarat",New Domestic Driving License,3818,10
I Paid Rs. 111 to Municipal Services in Adityapur.,10-03-16,"Adityapur,Jharkhand",Birth Certificate,4489,111
I Paid Rs. 50 to Police in Tiruchirappalli.,10-03-16,"Tiruchirappalli,TamilNadu",Traffic Violations,3930,50
I Paid Rs. 88 to Others in Abhayapuri.,09-03-16,"Abhayapuri,Assam",Others,3554,88
I Paid Rs. 100 to Police in Pune.,09-03-16,"Pune,Maharashtra",Traffic Violations,2449,100
"I Paid Rs. 41 to Commercial Tax, Sales Tax, VAT in Achhnera.",09-03-16,"Achhnera,UttarPradesh",C Form,3740,41
I Paid Rs. 14000 to Stamps and Registration in Tiruvuru.,09-03-16,"Tiruvuru,AndhraPradesh",Registration of Property,3360,14000
I Paid Rs. 2500 to Stamps and Registration in Achhnera.,09-03-16,"Achhnera,UttarPradesh",Marriage Certificate,4072,2500
"I Paid Rs. 30 to Food, Civil Supplies and Consumer Affairs in Kothagudem.",09-03-16,"Kothagudem,Telangana",Issue of Ration Card,4097,30
Bribe to a traffic police,09-03-16,"Bangalore,Karnataka",Vehicle Registration Extract,1972,200
I Paid Rs. 150 to Others in Bangalore.,09-03-16,"Bangalore,Karnataka",Others,1853,150
Paid a bribe to clear my file to on police verification,08-03-16,"Asansol,WestBengal",,4126,500
I Paid Rs. 1000 to Police in Bhavnagar.,08-03-16,"Bhavnagar,Gujarat",Traffic Violations,3870,1000
I Paid Rs. 130 to Police in Abohar.,08-03-16,"Abohar,Punjab",Traffic Violations,3459,130
"I Paid Rs. 300000 to Food, Civil Supplies and Consumer Affairs in Adityapur.",07-03-16,"Adityapur,Jharkhand",Issue of Ration Card,5016,300000
Corrupt cops stopped my Ola and harassed us to pay him Rs.1K bribe money,07-03-16,"Bangalore,Karnataka",Allowances,4168,1000
I Paid Rs. 100 to Transport in Kolkata.,07-03-16,"Kolkata,WestBengal",New Domestic Driving License,3762,100
I Paid Rs. 100000 to Transport in Adilabad.,06-03-16,"Adilabad,Telangana",Duplicate Registration Certificate,4159,100000
Registration at Sub Registrar Bidrahlli Aavalahalli,06-03-16,"Bangalore,Karnataka",Registration of Sale Deed,2810,5000
Paid a bribe of Rs.800 to get my marriage registered,06-03-16,"Bangalore,Karnataka",Marriage Registration,1916,800
Marriage certificate,05-03-16,"Bangalore,Karnataka",Others,2153,1500
Bribe for pcc,05-03-16,"Anand,Gujarat",Police Clearance Certificate,4099,300
"I Paid Rs. 20 to Customs, Excise and Service Tax in Mumbai.",05-03-16,"Mumbai,Maharashtra",Customs Check and Clearance,3897,20
Officer wants a percentage of market value of my plot,05-03-16,"Siliguri,WestBengal",Others,3957,50000
Police guy asked for Rs300 for police verification of passport,04-03-16,"Bhopal,MadhyaPradesh",Police Verification for Passport,4978,300
I Paid Rs. 200 to Others in Imphal.,03-03-16,"Imphal,Manipur",Others,2676,200
Ayothiyapattinam sub register office,03-03-16,"Salem,TamilNadu",Marriage Registration,5613,2000
I Paid Rs. 100 to Others in Gaya.,03-03-16,"Gaya,Bihar",Others,3974,100
I Paid Rs. 100 to Others in Jalgaon.,03-03-16,"Jalgaon,Maharashtra",Others,3772,100
Complaint against corrupted officer & not doing the duty,02-03-16,"Mysore,Karnataka",Birth Certificate,5627,1000
Dishonest Custom Officer Taking Bribe & Playing with Security,02-03-16,"Mumbai,Maharashtra",Customs Check and Clearance,3930,10000
I Paid Rs. 200000 to Municipal Services in Achhnera.,02-03-16,"Achhnera,UttarPradesh",Birth Certificate,4488,200000
I Paid Rs. 500 to Municipal Services in Hyderabad.,02-03-16,"Hyderabad,Telangana",Birth Certificate,3022,500
I Paid Rs. 1 to Municipal Services in Coimbatore.,01-03-16,"Coimbatore,TamilNadu",Birth Certificate,3849,1
Corruption for regularising service,01-03-16,"Nanded,Maharashtra",Regularising Service,3809,30000
Purchase of Handicap certificate original,29-02-16,"Yavatmal,Maharashtra",Disability Certificate,5146,90000
Most corrupt police in Kolkata,29-02-16,"Kolkata,WestBengal",Police Verification for Passport,3881,2000
Rs.25000 bribe to sub-registrar for 30X40 site in Attibele,29-02-16,"Bangalore,Karnataka",Registration of Sale Deed,2049,25000
Paid a Bribe to Rathana for Kahta Transfer in Yamare  Village Panchayat.,29-02-16,"Bangalore,Karnataka",Khata Transfer,2379,6000
"Bribe Sub-Regitrar Office, Bangalore",29-02-16,"Bangalore,Karnataka",Others,2770,200
Bribe of 200 Rs for filing simple police report of lost Admit Card for Exam,28-02-16,"Bangalore,Karnataka",Lodging Police Complaint,1721,200
Paid a bribe for lodging simple Police report,28-02-16,"Bangalore,Karnataka",Lodging Police Complaint,1765,200
"A awful and scarry expirence with the government office, completely diturbed my peace of mind.",28-02-16,"Bangalore,Karnataka",New Company or Business Registration,2899,4000
Spot fine paid and given a bill as not paid,27-02-16,"Chennai,TamilNadu",Traffic Violations,2532,100
Transferring Property Tax from Builder to self,26-02-16,"Bangalore,Karnataka",Property Tax,2125,1500
Harresment due to ignorence,26-02-16,"Mumbai,Maharashtra",Police Clearance Certificate,3612,95000
Paid 5000 bribe in electronic city RTO office,26-02-16,"Bangalore,Karnataka",Road Tax,2398,5000
I Paid Rs. 60 to Others in Ballia.,25-02-16,"Ballia,UttarPradesh",Others,3343,60
Bribe for getting bike back after theft.,25-02-16,"Pune,Maharashtra",Retrieval of lost items,3081,800
"Mahadevapura, Sub-Registrar Office, Bangalore",25-02-16,"Bangalore,Karnataka",Registration of Flat or Apartment,3313,22000
I Paid Rs. 67565 to Transport in Achhnera.,24-02-16,"Achhnera,UttarPradesh",Duplicate Registration Certificate,3538,67565
I Paid Rs. 3 to Municipal Services in Abhayapuri.,24-02-16,"Abhayapuri,Assam",Birth Certificate,3679,3
I Paid Rs. 1000 to Municipal Services in Bangalore.,24-02-16,"Bangalore,Karnataka",Birth Certificate,1856,1000
I Paid Rs. 500 to Municipal Services in Pune.,24-02-16,"Pune,Maharashtra",Birth Certificate,2529,500
I Paid Rs. 20000 to Railways in Abohar.,24-02-16,"Abohar,Punjab",Transport of Goods,4231,20000
I Paid Rs. 5000 to Police in Adityapur.,24-02-16,"Adityapur,Jharkhand",Filing FIR,4321,5000
"On 12th  febuary 12:00PM my friend, ChatNoel hacked me",24-02-16,"Hyderabad,Telangana",Birth Certificate,2802,33000
I Paid Rs. 200 to Municipal Services in Dindigul.,24-02-16,"Dindigul,TamilNadu",Birth Certificate,5415,200
I Paid Rs. 500 to Passport in Ahmedabad.,24-02-16,"Ahmedabad,Gujarat",New Passport Application,3972,500
I Paid Rs. 900 to Police in Bathinda.,24-02-16,"Bathinda,Punjab",Traffic Violations,2138,900
I Paid Rs. 13 to Stamps and Registration in Thrissur.,24-02-16,"Thrissur,Kerala",Marriage Certificate,3460,13
"Buying a job, not earning one",24-02-16,"Tamluk,WestBengal",Recruitment,3755,1100000
I Paid Rs. 2100 to Municipal Services in Hyderabad.,24-02-16,"Hyderabad,Telangana",Birth Certificate,2702,2100
I Paid Rs. 10 to Others in Pune.,24-02-16,"Pune,Maharashtra",Others,2732,10
I Paid Rs. 5 to Municipal Services in Cochin.,24-02-16,"Cochin,Kerala",Birth Certificate,3246,5
DIBYA Publication fraud,24-02-16,"Bijapur,Karnataka",Others,4631,950
I Paid Rs. 1500 to Police in Bangalore.,23-02-16,"Bangalore,Karnataka",Police Harassment,1381,1500
I paid bribe for not having NOC,23-02-16,"Pune,Maharashtra",NOC for Transfer of Vehicle Registration,2873,1000
I Paid Rs. 500 to Municipal Services in Adilabad.,23-02-16,"Adilabad,Telangana",Birth Certificate,4051,500
I Paid Rs. 10 to Others in Ambikapur.,23-02-16,"Ambikapur,Chhattisgarh",Others,4193,10
I Paid Rs. 1000 to Others in Surat.,23-02-16,"Surat,Gujarat",Others,5089,1000
I Paid Rs. 10 to Municipal Services in New Delhi.,23-02-16,"NewDelhi,Delhi",Birth Certificate,2254,10
Towing Service Calgary - Calgary Towing,23-02-16,"Anantapur,AndhraPradesh",Confirmation Report,4903,100
I Paid Rs. 2 to Municipal Services in Ajmer.,23-02-16,"Ajmer,Rajasthan",Birth Certificate,3405,2
"I Paid Rs. 4343 to Commercial Tax, Sales Tax, VAT in Idukki.",23-02-16,"Idukki,Kerala",C Form,2585,4343
I Paid Rs. 500 to Municipal Services in Tadepalligudem.,23-02-16,"Tadepalligudem,AndhraPradesh",Birth Certificate,1737,500
I Paid Rs. 45 to Municipal Services in Ahmadnagar.,23-02-16,"Ahmadnagar,Maharashtra",Birth Certificate,3661,45
HELLO EVERY ONE THIS IS HERE IS A VERY NICE AND MATCHLOCK UNDERSTANDING…,23-02-16,"Mumbai,Maharashtra",Others,2319,20000
I Paid Rs. 213 to Municipal Services in Abhayapuri.,23-02-16,"Abhayapuri,Assam",Birth Certificate,3355,213
"I Paid Rs. 100 to Food, Civil Supplies and Consumer Affairs in Adari.",23-02-16,"Adari,UttarPradesh",Issue of Ration Card,5435,100
I Paid Rs. 50000 to Police in Chennai.,23-02-16,"Chennai,TamilNadu",Police Verification for Passport,2099,50000
I Paid Rs. 25 to Municipal Services in Abhayapuri.,23-02-16,"Abhayapuri,Assam",Birth Certificate,3156,25
I Paid Rs. 45454 to Municipal Services in Abohar.,23-02-16,"Abohar,Punjab",Birth Certificate,3442,45454
I Paid Rs. 525 to Municipal Services in Abhayapuri.,23-02-16,"Abhayapuri,Assam",Birth Certificate,3139,525
I Paid Rs. 100000 to Municipal Services in Achhnera.,23-02-16,"Achhnera,UttarPradesh",Birth Certificate,2706,100000
I Paid Rs. 10 to Others in Vidisha.,22-02-16,"Vidisha,MadhyaPradesh",Others,3765,10
I Paid Rs. 1 to Income Tax in Jammu.,22-02-16,"Jammu,JammuandKashmir",New PAN Card,4428,1
I Paid Rs. 3434 to Municipal Services in Abhayapuri.,22-02-16,"Abhayapuri,Assam",Birth Certificate,3170,3434
I Paid Rs. 100 to Others in Bijapur.,22-02-16,"Bijapur,Karnataka",Others,3536,100
Ssssssssssssssssssssssssssssssssssssssssssssssssssssssss,22-02-16,"Warangal,Telangana",Others,4411,10000
I Paid Rs. 50000 to Others in Ghaziabad.,22-02-16,"Ghaziabad,UttarPradesh",Others,3308,50000
I Paid Rs. 25 to Municipal Services in Patan.,22-02-16,"Patan,Gujarat",Birth Certificate,1379,25
Best fashion designing institute in CHD,22-02-16,"Chandigarh,Chandigarh",Admission to College,5741,100
Paid Bribe to get the Khatha Transfer from my mother to my name,22-02-16,"Bangalore,Karnataka",Khata Transfer,1571,10000
No fine receit was given. Fine was not taken infront of the public,21-02-16,"Kolkata,WestBengal",Railway Police,4111,200
Bribe taking by house tax collector,20-02-16,"Morena,MadhyaPradesh",Others,2227,325
I paid a bribe to clear papers for my dad's VRS,19-02-16,"Bangalore,Karnataka",Others,2153,5000
Paid bribe for police verification for passport,18-02-16,"Tirunelveli,TamilNadu",Renewal of Passport,3506,300
Paid bride for indane gas delivery boy,18-02-16,"Chennai,TamilNadu",Gas Cylinder Supply,4375,40
When you have to bribe just to get your Passport made,18-02-16,"Dehradun,Uttarakhand",Police Verification for Passport,5598,500
To get tender aprove,18-02-16,"Ahmedabad,Gujarat",Road Repair,4018,200000
"Either i pay, or my verification goes on hold...!!!",17-02-16,"Pune,Maharashtra",Police Verification for Passport,2946,500
Hassled for smoking,17-02-16,"Bangalore,Karnataka",Police Harassment,2078,100
Passport delivery refusal,16-02-16,"Jaipur,Rajasthan",Speed Post,5450,100
Expired Bike insurance,16-02-16,"Bangalore,Karnataka",Police Harassment,2167,50
RTO in its usual glory,15-02-16,"NaviMumbai,Maharashtra",False Allegations,5404,500
"Compelled to pay a bribe of Rs. 1500 for police verification of passport  at Burdwan DIB ,713101",15-02-16,"Burdwan,WestBengal",Police Verification for Passport,2754,1500
Contract labour holding passengers to ransom.,12-02-16,"Mysore,Karnataka",Vehicle Transport Booking,5941,50
Paid a bribe,12-02-16,"Amadalavalasa,AndhraPradesh",Police Verification for Passport,3851,500
Paid bribe amount,11-02-16,"Abohar,Punjab",Loan Sanctioning,4607,100
Taking bribes unanimously,09-02-16,"Jhansi,UttarPradesh",Others,4785,50000
Excessive fine asked for foothpath parking,09-02-16,"Pune,Maharashtra",General RTO related,3713,330
Trafic police menace,09-02-16,"Mumbai,Maharashtra",Traffic Violations,3416,100
Paid bribe for issuing learners licence.,08-02-16,"Hyderabad,Telangana",Learners License,3594,1500
For registration of sale deed,08-02-16,"Bangalore,Karnataka",Registration of Sale Deed,2456,10000
I paid bribe to surveyor,08-02-16,"Anantapur,AndhraPradesh",Survival Certificate,5082,3000
Paid 2500 bribe for traffic violations,06-02-16,"Bangalore,Karnataka",Traffic Violations,2376,2500
Singal Jump,04-02-16,"Mumbai,Maharashtra",Traffic Violations,3440,200
Licence that costs 5 times the official cost.,04-02-16,"Agra,UttarPradesh",Duplicate Driving License,4911,800
Paid bribe to obtain license,03-02-16,"Bangalore,Karnataka",Electrical Inspection,3600,100000
Peon of government school demand for bribe,03-02-16,"Ghaziabad,UttarPradesh",School or College Related Activities,4875,1200
Demanded 500 to allow our vehicles,03-02-16,"Pune,Maharashtra",Entry Tax,3242,500
Charged 10 Rupees Extra for Monthly Pass Identification Card,03-02-16,"Bangalore,Karnataka",Public Transport,2779,10
Flat Registration @22k Bribe,03-02-16,"Bangalore,Karnataka",Registration of Flat or Apartment,2648,22000
Demanded 300 from my friend for FIR for loss of mobile phone,02-02-16,"Chennai,TamilNadu",Filing FIR,2997,300
Adambakkam Police Station asked me 500 to pass the police verification,02-02-16,"Chennai,TamilNadu",Police Verification for Passport,4175,500
Unnecessary Charges for Account Portability,02-02-16,"Chennai,TamilNadu",Subversion of Financial Norms,3794,57
Paid bribe to get the forms signed,01-02-16,"Chennai,TamilNadu",Excise Tax Collection,4152,10000
"Bribe to adhar enrollment agency lady staff named Deepa M  at Metagalli, Mysore",31-01-16,"Mysore,Karnataka",Voter Registration,5309,120
I Paid 3000 INR BRIBE at Chikmagalur Taluk Office,30-01-16,"Chikmagalur,Karnataka",7/12 Extract,5033,3000
Made to pay bribe over and above the violation fee,30-01-16,"Bangalore,Karnataka",Traffic Violations,1945,200
Failing to produce DL and two-wheeler RC documents.,29-01-16,"Bangalore,Karnataka",Traffic Violations,2169,200
Dr BAM University aurangabad - Paid bribe after waiting for transcripts for one year,28-01-16,"Aurangabad,Bihar",Obtaining Transcripts,5121,700
Had to bribe despite having every document,27-01-16,"Tiruppur,TamilNadu",Police Verification for Passport,4534,1000
My Opponent paid a huge amount to police just to threaten me for a false case,27-01-16,"Chennai,TamilNadu",Police Investigation,2420,530000
Paid a bribe to the writer,27-01-16,"Bangalore,Karnataka",Marriage Registration,2833,300
For sanctioning of my nursing home map,27-01-16,"Allahabad,UttarPradesh",Verification of property documents,5944,300000
Paid a bribe to a rto person,27-01-16,"Bangalore,Karnataka",Duplicate Driving License,2733,100
Reciept for far less than payment for pet cremation at BBMP pet crematory,26-01-16,"Bangalore,Karnataka",Cremation,2418,1300
Taluka of Local Police Chowki,26-01-16,"Ghaziabad,UttarPradesh",Reissue of Passport,4656,1500
Corrupt drug inspector,25-01-16,"Bangalore,Karnataka",Pharmacy Registration and License,5764,40000
Sub registrar office openly ask if you dont give bribe,25-01-16,"Bangalore,Karnataka",Registration of Property,2354,1700
Licenses,25-01-16,"Mumbai,Maharashtra",Delivery of Letters and other Post,4714,200
Vehicle Transport of railways are completely corrupted,25-01-16,"Chennai,TamilNadu",Vehicle Transport Booking,3848,2200
I went to Gram Panchayat office for my new house katha transfer. They asked 7000 bribe.,25-01-16,"Bangalore,Karnataka",New Khata Certificate,2097,7000
Bribed CID officers for passport verification,25-01-16,"Jamshedpur,Jharkhand",Police Verification for Passport,4678,500
Hegganahalli Govt Hospital,22-01-16,"Bangalore,Karnataka",Regularising Service,3975,50
Bribe for getting transcript in medical college,21-01-16,"Chennai,TamilNadu",Obtaining Transcripts,6362,25000
Bribe routine for marriage registration,21-01-16,"Kanpur,UttarPradesh",Marriage Registration,4992,4000
About my rented house verification in new delhi,21-01-16,"Pathankot,Punjab",Police Investigation,4026,200
Paid  a bribe to Rto official For transfer of ownership,21-01-16,"Chennai,TamilNadu",Transfer of Vehicle Registration,3044,2500
Extorsion by Ramamurthy Police Station,21-01-16,"Bangalore,Karnataka",False Allegations,2546,50000
Shatabti Cbe-chennai corruption for misspelled Gender for co-passanger,20-01-16,"Coimbatore,TamilNadu",Railway Personnel,4690,500
About sim lost,20-01-16,"Lucknow,UttarPradesh",Others,5801,3
For Marriage Certificate,20-01-16,"Bangalore,Karnataka",Marriage Registration,2651,500
Bribe in Kashiram Hospital,20-01-16,"Kanpur,UttarPradesh",Medical Treatment,5077,270
Bribe for Stamping on mortgagee certificate during Home loan processing,20-01-16,"Hindupur,AndhraPradesh",Stamp Duty,2770,230
Agents Asks for Bribes to get RPO Order for Walk in applicants for PCC.,19-01-16,"Dehradun,Uttarakhand",Police Clearance Certificate,5886,3000
Personal Entry Amount by police man,19-01-16,"Madgaon,Goa",Entry Tax,4015,100
My sister has to pay bride to customs officers' today,19-01-16,"Kolkata,WestBengal",Customs Check and Clearance,5167,200
Marriage certificate,18-01-16,"Pune,Maharashtra",Others,3125,5000
Corruption due to vague rules,16-01-16,"Mumbai,Maharashtra",Traffic Violations,3167,500
Bribe collected by Staff of Enrollment agency,16-01-16,"Mysore,Karnataka",Aadhaar or UID Related,4981,120
Charge for valid PUC,15-01-16,"Mumbai,Maharashtra",Traffic Violations,3094,100
Demanded to be fined but traffic officer wanted a settlement,15-01-16,"Hyderabad,Telangana",Traffic Violations,3322,100
To accept my resignation letter,15-01-16,"Bijapur,Karnataka",Salary Withdrawal,4816,2000
"False allegation of  violation,Traffic police misuse their power",15-01-16,"Proddatur,AndhraPradesh",Traffic Violations,4391,200
I paid bribe to postman 50rs,14-01-16,"MiraBhayandar,Maharashtra",Speed Post,4869,50
HEGGANAHALLI GOVERNMENT HOSPITAL,14-01-16,"Bangalore,Karnataka",Medical Treatment,4545,100
Made to pay bribe of Rs. 20000/- openly at BBMP for Stamp Duty+Registration of Sale Deed,14-01-16,"Bangalore,Karnataka",Stamp Duty,2357,20000
Land pass book,13-01-16,"Vizianagaram,AndhraPradesh",7/12 Extract,4491,10000
I paid bribe and the police officer hasn't verified my house or documents,13-01-16,"Ghaziabad,UttarPradesh",Police Verification for Passport,4327,2500
Police verification,13-01-16,"Pune,Maharashtra",Police Verification for Passport,2960,300
BBMP Ward 29,11-01-16,"Bangalore,Karnataka",Building Plan Approval,3204,30000
I paid a bribe,11-01-16,"Bangalore,Karnataka",Transfer of Vehicle Registration,2796,5000
I paid a bribe,11-01-16,"Bangalore,Karnataka",Change of Address in Driving License,2359,2000
Bribe For Police Verification,11-01-16,"Allahabad,UttarPradesh",Police Verification for Passport,5660,600
Gas delivery boy asking extra for delivering the cylinder,09-01-16,"Kolar,Karnataka",Gas Cylinder Supply,6388,35
I had to pay bribe forcefully even we have all the required documents,07-01-16,"Bangalore,Karnataka",Stamp Duty,3381,8000
Had to pay rs 500 for passport verification,07-01-16,"Bhubaneswar,Orissa",Police Verification for Passport,6247,500
Bribe for Selaiyur Inspector,06-01-16,"Chennai,TamilNadu",Police Harassment,3553,8000
Paid to get dob certificate for my son,06-01-16,"Chennai,TamilNadu",Birth Certificate,3514,500
They asked me to pay to file FIR,06-01-16,"Pune,Maharashtra",Filing FIR,3552,200
Paid bribe to mr. Tomar for transferring name of ownership in indore muncipal cooperation at vijay n,05-01-16,"Indore,MadhyaPradesh",Transferring Name for Inherited Property,5247,1200
Indane Gas delivery boy demanding 25-30 Rs extra to delivery cylinder,05-01-16,"Bangalore,Karnataka",Gas Cylinder Supply,5729,30
BRIBE EVEN AT THE GRAVEYARD..TOO MUCH!!!,05-01-16,"Bangalore,Karnataka",Others,3061,1500
Driving License Dowry,04-01-16,"Hyderabad,Telangana",Driving licence Process,4641,1500
Paid a bribe to get a power of attorney document registered,04-01-16,"Kolkata,WestBengal",Power of Attorney Registration,4610,550
Background verification,02-01-16,"Lucknow,UttarPradesh",Background or Personal Verification,5099,1300
Marriage Certificate Charges,02-01-16,"Bangalore,Karnataka",Marriage Certificate,3413,500
Paid bribe for Aadhar card process,02-01-16,"Kanchipuram,TamilNadu",Aadhaar Card Process,5921,5000
I paid bribe to file an FIR for my lost Educational  Marksheets,31-12-15,"Bangalore,Karnataka",Filing FIR,2465,500
I paid a bribe to Lawyer for registration of my property,29-12-15,"Bangalore,Karnataka",Registration of Property,3396,16000
Entire system seems corrupt in GVMC,28-12-15,"Visakhapatnam,AndhraPradesh",Death certificate,4696,500
Bribe for Passport verification is part of process,28-12-15,"Ulhasnagar,Maharashtra",Police Verification for Passport,3318,500
Tamil nadu electricity board move to 1 spot in bribe,28-12-15,"Tiruchirappalli,TamilNadu",Services like Movement of Poles and Wires,5812,25000
For Police verification they are taking Rs.300 bribe,28-12-15,"Surendranagar,Gujarat",Police Verification for Passport,4318,500
Latha mangesh collected bribe for the service she rendered,27-12-15,"Tirunelveli,TamilNadu",Commercial Tax Payment,4172,5000
Nothing can be done.,25-12-15,"Pune,Maharashtra",Police Clearance Certificate,3293,1500
ANURADHA PAVAN CHINNAYYA AND MANY MORE OFFICERS AT HYDERABAD,24-12-15,"Hyderabad,Telangana",Labour License Renewal,5324,1000
Why bribe for clearing my loan entitlements from my flat registration,22-12-15,"Bangalore,Karnataka",Registration of Mortgage Deed,2651,625
Corruption in Police & Judges,22-12-15,"Udupi,Karnataka",False Allegations,5565,150000
Paid a bribe of Rs. 22000 for getting my flat registered in my name,22-12-15,"Bangalore,Karnataka",Registration of Property,2233,22000
False allegation of Traffic Violation,22-12-15,"Mumbai,Maharashtra",Traffic Violations,3252,100
Police Verification Bride for new passport,17-12-15,"Bangalore,Karnataka",Police Verification for Passport,3930,200
I paid a Bribe to passport enquiry officer.,17-12-15,"Warangal,Telangana",Police Clearance Certificate,7818,1100
Drink and drive violation,17-12-15,"Gurgaon,Haryana",Traffic Violations,4427,200
Received a notice from income tax,16-12-15,"NewDelhi,Delhi",IT scrutiny,5024,400
2 wheeler parked in four wheeler parking area,15-12-15,"Pune,Maharashtra",Traffic Violations,3515,350
Paid Bribe To The Authority Who Would sign on the license,14-12-15,"Allahabad,UttarPradesh",Driving licence Process,5672,900
Paid bribe for Police  verification Regarding passplrt,12-12-15,"Ghaziabad,UttarPradesh",Police Clearance Certificate,4522,1000
Registration of Apartment at office of Sub Registrar Jayanagar,12-12-15,"Bangalore,Karnataka",Registration of Flat or Apartment,2858,20500
No police verification without bribe for nine months,12-12-15,"Churu,Rajasthan",Police Verification for Passport,3126,1000
Taking My Ordinal Registration Certificate,10-12-15,"Bangalore,Karnataka",Traffic Violations,2175,100
Bribe paid to police constable who was checking the papers,10-12-15,"Thane,Maharashtra",Police Verification for Passport,5455,500
For Shashi Driving School,10-12-15,"Bangalore,Karnataka",Vehicle Registration Extract,3081,1000
I paid a Bride to get Katha Done,10-12-15,"Tumkur,Karnataka",New Khata Certificate,6397,15000
I was asked to pay for registration of my hoise,10-12-15,"Chennai,TamilNadu",Registration of House,2997,15000
Bribe paid for passport verification,10-12-15,"Bangalore,Karnataka",Background Verification,2021,500
"Police fined me for just waiting at a spot for 5 mins, and I was sitting at the steering",08-12-15,"Pune,Maharashtra",Traffic Violations,2862,100
Bribe for passport verification,07-12-15,"Gudivada,AndhraPradesh",Background or Personal Verification,3317,1500
B.C KHANDURI BLACKMAILED  STUDENTS TO PAY BRIBE ELSE HE WOULD FAIL US,06-12-15,"Rudrapur,UttarPradesh",Attendance,4060,3500
Corruption by Police to protect Corrupt,06-12-15,"Nanded,Maharashtra",False Allegations,4246,35000
Paid bribe for 400 Rs and got birth but feel cheeted after orginal alottee has come after 3 station,06-12-15,"Lucknow,UttarPradesh",Berth Allocation,4779,400
Autoricksaw drives ride their vehicle without meter on.,05-12-15,"Bangalore,Karnataka",Others,2553,30
Bribe for no reason.,04-12-15,"Ahmedabad,Gujarat",Police Verification for Passport,4780,300
Paid 15K for registration of a plot to the Sub-Registrar,03-12-15,"Ramnagaram,Karnataka",Registration of Property,4356,15000
I'm a working professional in Mumbai and rides,03-12-15,"Mumbai,Maharashtra",Traffic Violations,3359,100
I was not having PUC card with me,03-12-15,"Rajkot,Gujarat",Traffic Violations,4030,50
Gave Rs1500 Bribe for police verification,03-12-15,"Ongole,AndhraPradesh",Police Verification for Passport,4782,1500
I had to pay bribe,02-12-15,"Pune,Maharashtra",NOC for Transfer of Vehicle Registration,3016,1500
Paid bribe for constrcution,01-12-15,"Raipur,Chhattisgarh",PWD Officers,6011,40000
"Schooleducation.kar,nic.in new school permission never worked",01-12-15,"Bangalore,Karnataka",Permission to Open School,4182,2000
BSNL Nanded corruption,29-11-15,"Nanded,Maharashtra",Repair of Telephone or Internet Connection,5848,200
I Paid bill amount 300 and issued with bill specifying  bill not paid.,29-11-15,"Chennai,TamilNadu",Traffic Violations,2415,300
Bribe for Medical bill,29-11-15,"Nanded,Maharashtra",Medical Reimbursement claim,4651,2000
Corruption in banking,28-11-15,"Abohar,Punjab",Loan Sanctioning,5862,100
Late night bribe collection,28-11-15,"Bangalore,Karnataka",Traffic Violations,2097,150
Harrassment for money and protecting the Corrupt,28-11-15,"Nanded,Maharashtra",Police Harassment,3860,75000
Bribe for timely release of salary ( CORRECTED DATE report on ipaidabribe report no # 83559),28-11-15,"Nanded,Maharashtra",Salary Related,4796,68000
Asked for a bribe of 2000 and warned about the repercussions if not paid,27-11-15,"Ghaziabad,UttarPradesh",Police Verification for Passport,4008,1200
Traffic Police And the usual Story.,25-11-15,"Visakhapatnam,AndhraPradesh",Fitness Certificate for Vehicles,4822,300
Registration office Bangalore,25-11-15,"Bangalore,Karnataka",Registration of Property,2355,11000
Req to govt to wake up,25-11-15,"Jammu,JammuandKashmir",Residence Certificate,5053,25000
Enrollment agencies of Aadhar card are openly demanding money 50â¦,24-11-15,"Kanpur,UttarPradesh",Bribing of Government Officers,6387,50
Vehicle PUC Expired,23-11-15,"Mumbai,Maharashtra",Traffic Violations,3705,150
Asked to pay bribe while entering Maharashtra border from Goa,22-11-15,"Sindhudurg,Maharashtra",Police Clearance Certificate,2177,100
Bribe for Timely release of Salary,21-11-15,"Nanded,Maharashtra",Salary Related,4422,68000
Paid bribe to give us a reserved seat,21-11-15,"Vijayawada,AndhraPradesh",TTE,5878,200
I Paid bribe to Policemen for Protection at night,21-11-15,"Hyderabad,Telangana",Police Protection,3560,5000
Entire staff is Corrupt,20-11-15,"Belgaum,Karnataka",Marriage Registration,6174,500
Harassment by police,19-11-15,"Bangalore,Karnataka",Police Harassment,2058,7000
TO get the aadhar card from the staff,18-11-15,"Jamnagar,Gujarat",Others,4687,50
Bribe taken by Joint Director of Mines & Geology of Andhra Pradesh,17-11-15,"Hyderabad,Telangana",Others,4454,50000
Taking Rs 100 for each Aadhar card,17-11-15,"Adityapur,Jharkhand",Enrolment for Aadhaar Card,5625,100
Harassment from squad officer,14-11-15,"Bangalore,Karnataka",WayBill against Imported Goods,4010,50000
