Title,Date,Location,Department,Views,Amount(INR)
Owner Tenant Issuse,02-03-20,"Bangalore,Karnataka",FIR and Complaints,1938,5000
"I am running restaurant with all legal certificates, police constable demanding bribe 2000rs month",01-03-20,"Arwal,Bihar",Registrations and Licenses,1380,2000
"Corruption by PSPCL employees in Sardar Nagar, Ludhiana",01-03-20,"Ludhiana,Punjab",Change of Tariff in Domestic to Commercial,2712,1000
Inno-Flex Spare Drive Belts at RBinnovations.com,27-02-20,"Adilabad,Telangana",Others,1836,1200
Outdoor Motion Activated Solar 16-LED Security/Nightlight â Hardworkingproducts.com,27-02-20,"Adari,UttarPradesh",Others,2177,250
Reg Husband mohamed asik given amount to social welfare officer Mrs jayalakshmi,25-02-20,"Madurai,TamilNadu",,1848,5000
Illegal source of income,24-02-20,"Patna,Bihar",Others,2617,1300000
Saw traffic police asking 5000 rs to avoid fine,24-02-20,"Bangalore,Karnataka","Traffic Fines, Penalties, Rules",1865,5000
Fruits delivery,23-02-20,"Sikar,Rajasthan",College Leaving Certificate,2886,12000
Bribed for visiting kodaikanal,23-02-20,"Coimbatore,TamilNadu",Driving and Transport Business,2191,1000
Just for survey,22-02-20,"Nellore,AndhraPradesh",Land Registration,2068,10000
I paid a bribe of 250000 in rera jharkhand whereas the payment was of 10000,20-02-20,"Ranchi,Jharkhand",Building Construction Approval,2522,250000
Boarded women's coach in train 64164,20-02-20,"Shikohabad,UttarPradesh",Traveling without Ticket,3066,1000
Baroda uttar pradesh gramin bank branch Halore raebareli,20-02-20,"RaeBareli,UttarPradesh",Loans,1721,1000
Bribe for Disabled person to prove,19-02-20,"Koppal,Karnataka",Disability Certificate,2674,10
"Best, Cheap & Top Hotels in Dharamshala, Chamunda Devi, HP",19-02-20,"NewDelhi,Delhi",Others,2052,1200
He take 200 bribe,18-02-20,"Bangalore,Karnataka","Traffic Fines, Penalties, Rules",1869,200
Handcrafted/Handmade Stemless Wine & Drinking Glasses,18-02-20,"Adari,UttarPradesh",Pension Processing,2050,1200
Passport police verification/Bribe in Coimbatore Sulur police station,15-02-20,"Coimbatore,TamilNadu",Verification and Certificates,2329,500
Bribe against passport police verification.,15-02-20,"Siliguri,WestBengal",Police Clearance Certificate,3140,1000
Bribe for passport verification /Coimbatore SULUR POLICE STATION,15-02-20,"Coimbatore,TamilNadu",Verification and Certificates,2402,500
Traffic cops hefty bribes,15-02-20,"Bangalore,Karnataka","Traffic Fines, Penalties, Rules",1754,300
BRIBE FOR BOOK A TATKAL TICKET,14-02-20,"PaliaKalan,UttarPradesh",Entry Tax,3101,5
Municipality offier,14-02-20,"Salem,TamilNadu",Aadhaar Card Process,2896,100
Powermatic 2+ Plus Electric Cigarette Rolling Machine,13-02-20,"NewDelhi,Delhi",Others,1992,1200
Bribe for new car registration,11-02-20,"Patna,Bihar",Number Plates and Vehicle Registration,2269,9000
Traffic rush by police itshelf and they blamed me for red light jump.,10-02-20,"Panchkula,Haryana","Traffic Fines, Penalties, Rules",1365,500
It was just done false with us,09-02-20,"Buxar,Bihar",Policies and Procedures,1080,10000
I paid bribe for Labor Inspector  Circle 44,08-02-20,"Bangalore,Karnataka",Registrations and Licenses,1787,20000
Caring alcohol from goa,07-02-20,"Karwar,Karnataka",False Allegations,3334,1000
Maharastra Traffic Police took bribe at Baner-Pashan link road near veritas,07-02-20,"Pune,Maharashtra","Traffic Fines, Penalties, Rules",2509,2000
Payed bride to collect my certificate,05-02-20,"Bangalore,Karnataka",Certificates,1768,1000
HSTP Golden Rainbow 10.3U Residential Electric/Electronic Cigarette Maker,05-02-20,"Ambala,Haryana",Others,1580,1200
For Staying on the road side with motorcycle,05-02-20,"Bangalore,Karnataka",,1816,200
Complaint on demanding bribe!,04-02-20,"Bangalore,Karnataka",Property Registration,1720,5000
Malleshwaram traffic police held my vehicle for ransom even for parking in parking zone,01-02-20,"Bangalore,Karnataka","Traffic Fines, Penalties, Rules",2048,650
BBMP morons wouldn't move my file,31-01-20,"Bangalore,Karnataka",Tax,1964,6000
Roll Your Own Cigarette Shops Take Fire,31-01-20,"Adari,UttarPradesh",Others,2346,1200
My Ward Admission in Sainik school,31-01-20,"Hyderabad,Telangana",School or College Related,2661,60000
I hv been payingXtra 30 Rs more prescribed in cash memo per month,30-01-20,"Hyderabad,Telangana",Fire License,3318,30
